,paragraph,category,source
0,ByChukwuma Umeorah,National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
1,"TheNigeria Immigration Service (NIS), the Nigeria Customs Service (NCS), the Nigeria Police and other International security organisations have engaged in talks on strategic moves to tackle terrorism and other criminal activities on the Gulf of Guinea.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
2,"Speaking at the opening ceremony of the ongoing Regional Workshop on Maritime Border security organised by the NIS yesterday, Comptroller-General of NIS, Mrs. Kemi Nana Nandap, said the Atlantic coast of the Gulf of Guinea, particularly near Nigeria is notorious for piracy and other maritime crimes, noting that the workshop emphasises the collective resolve of governments in West and Central Africa to tackle piracy, terrorism, illicit flow of arms, migrant smuggling, human trafficking and stowaway, among other transnational organized crimes.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
3,"At the workshop themed “Maritime security in the context of counter-terrorism in the Gulf of Guinea”the NIS boss stated that maritime insecurity from illegal oil bunkering, fishing, piracy, armed robbery, and oil-related crimes threaten vessel and crew safety, adding that these threats undermine regional stability and hinder economic growth and integration.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
4,"She said: “The theme of this Workshop, Maritime Border Security in the Context of Counter-Terrorism in the Gulf of Guinea, is apt and timely in evaluating and rethinking security under the present circumstances of evolving maritime threats in the Gulf of Guinea (GoG).",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
5,"“In addition, the ECOWAS Sub-Committee of Chiefs of Naval Staff meeting was held in Praia, Cabo Verde, from February 25 to 27, 2025, to discuss critical maritime security issues in the region.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
6,"“This workshop further emphasizes our collective resolve to tackle piracy, terrorism, illicit flow of arms, migrant smuggling, human trafficking and stowaway, among other transnational organized crimes. We aim to achieve this through sound policies, capacity building, community engagement, collaboration, and regional partnerships.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
7,"“Along West Africa’s Atlantic coast, the Gulf of Guinea is known for piracy, especially near Nigeria. It spans several countries, including Cameroon, Equatorial Guinea, Gabon, São Tomé and Príncipe, Ivory Coast, Togo, Benin, and Ghana. Due to its offshore oil and gas reserves, the region plays a crucial role in the global energy sector. Beyond oil and gas, harnessing the economic potential of the GoG resonates with Agenda 2063: the Africa We Want, and the 2050 African Integrated Marine Strategy, Policy Framework, and Reform strategy for fisheries and aquaculture in Africa. However, maritime insecurity from illegal oil bunkering, fishing, piracy, armed robbery, and oil-related crimes threaten vessel and crew safety.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
8,“These threats undermine regional stability and hinder economic growth and integration. And this is the reason why we are gathered here today to find actionable solutions.,National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
9,"“As the Comptroller-General of the Nigeria Immigration Service, I know the urgent priority of innovating countermeasures by deploying advanced surveillance systems and communication technologies for early detection and response.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
