text,category,source,cleaned_text
"This is because the incumbent deputy governor, Dr. Hadiza Balarabe, would have served two terms to exit office constitutionally by 2027.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,incumbent deputy governor dr hadiza balarabe would served two terms exit office constitutionally 2027
"Surprisingly, Southern Kaduna people, unlike in the past when they strongly fixed their eyes on the number one seat in the state, now appeared to be more interested in the number two seat.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,surprisingly southern kaduna people unlike past strongly fixed eyes number one seat state appeared interested number two seat
"The recent mass defection to the ruling All Progressive Congress (APC) from the major opposition party, People’s Democratic Party (PDP) may have no doubt given Governor Uba Sani soft landing for the second tenure in office, come 2027.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,recent mass defection ruling progressive congress apc major opposition party peoples democratic party pdp may doubt given governor uba sani soft landing second tenure office come 2027
"However, the people will do everything humanly possible to have the position of deputy governor given to them, Christian community in particular, even as Muslim community too vows not give up the position.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,however people everything humanly possible position deputy governor given christian community particular even muslim community vows give position
"But the National President of Southern Kaduna people’s Union (SOKAPU), Samuel Tabara apparently showed no worry and concern about who becomes the deputy governor of the state between Muslim and Christian groups.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,national president southern kaduna peoples union sokapu samuel tabara apparently showed worry concern becomes deputy governor state muslim christian groups
"Tabara simply told Daily Sun that, “we need responsible people in government. Religion is not a barrier”.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,tabara simply told daily sun need responsible people government religion barrier
"SOKAPU’s position not withstanding, it was gathered that interest groups have emerged, holding nocturnal meetings in order to mount pressure on Governor Sani to pick his deputy from any of the groups that has the upper hand in convincing him.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,sokapus position withstanding gathered interest groups emerged holding nocturnal meetings order mount pressure governor sani pick deputy groups upper hand convincing
A dependable source privy to two of the separate meetings held recently by Islamic and Christian faith groups told Daily Sun that each group is hell bent on having the deputy governorship position to its side.,Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,dependable source privy two separate meetings held recently islamic christian faith groups told daily sun group hell bent deputy governorship position side
"The source added that while the Islamic group insisted that there is nothing wrong with retaining the Muslim-Muslim ticket since it is the political rights of the governor to select whoever he so wished to work with irrespective of ethno-religious inclination, the Christian group said there is no equity and balance in the administration of Kaduna State since religion has roles to play in political affairs of the state, and as such there should be fair sharing of political positions among the two major religions.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,source added islamic group insisted nothing wrong retaining muslimmuslim ticket since political rights governor select whoever wished work irrespective ethnoreligious inclination christian group said equity balance administration kaduna state since religion roles play political affairs state fair sharing political positions among two major religions
"It would be recalled that the immediate past governor of the state, Mallam Nasir El-Rufai had announced the selection of Hadiza Balarabe, a fellow Muslim as his running mate for the 2019 election, a decision that attracted wide spread criticism against the choice of the governor.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,would recalled immediate past governor state mallam nasir elrufai announced selection hadiza balarabe fellow muslim running mate 2019 election decision attracted wide spread criticism choice governor
"At that time El-Rufai said the choice of Mrs Hadiza was deliberately done to encourage women participation in government, adding that the then President Muhammadu Buhari endorsed the choice of Hadiza.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,time elrufai said choice mrs hadiza deliberately done encourage women participation government adding president muhammadu buhari endorsed choice hadiza
"A source disclosed that while El-Rufai was shopping for a deputy governor, names of one Shaddalafiya, and one Ruth of Christian extraction in Southern Kaduna came up, but El-Rufai rejected them on the excuse that he couldn’t dump Buhari’s choice.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,source disclosed elrufai shopping deputy governor names one shaddalafiya one ruth christian extraction southern kaduna came elrufai rejected excuse couldnt dump buharis choice
